file,specimenno,day,Treatment,Comment
BB_T48_DAY0_MAY7.json,BB48,0,11-kt,
BB_T48_DAY1_MAY8.json,BB48,1,11-kt,
BB_T48_DAY2_MAY9.json,BB48,2,11-kt,
BB_T48_DAY3_MAY10.json,BB48,3,11-kt,
BB_T48_DAY4_MAY11.json,BB48,4,11-kt,
BB_T49INJ_DAY0_MAY12.json,BB49INJ,0,11-kt,
BB_T49INJ_DAY1_MAY13.json,BB49INJ,1,11-kt,
BB_T49INJ_DAY2_MAY14.json,BB49INJ,2,11-kt,
BB_T49INJ_DAY3_MAY15.json,BB49INJ,3,11-kt,
BB_T49INJ_DAY4_MAY16.json,BB49INJ,4,11-kt,
BB_T50_DAY0_MAY7.json,BB50,0,control,
BB_T50_DAY1_MAY8.json,BB50,1,control,
BB_T50_DAY2_MAY9.json,BB50,2,control,
BB_T50_DAY3_MAY10.json,BB50,3,control,
BB_T50_DAY4_MAY11.json,BB50,4,control,
BB_T51INJ_DAY0_MAY12.json,BB51INJ,0,control,
BB_T51INJ_DAY1_MAY13.json,BB51INJ,1,control,
BB_T51INJ_DAY2_MAY14.json,BB51INJ,2,control,
BB_T51INJ_DAY3_MAY15.json,BB51INJ,3,control,
BB_T51INJ_DAY4_MAY16.json,BB51INJ,4,control,
