file,specimenno,day,Treatment,Comment
INJ/DAY0_MAY12/BBT48INJ.json,BB48INJ,0,11-kt,
INJ/DAY0_MAY12/BBT49INJ.json,BB49INJ,0,11-kt,
INJ/DAY0_MAY12/BBT50INJ.json,BB50INJ,0,control,
INJ/DAY0_MAY12/BBT51INJ.json,BB51INJ,0,control,
INJ/DAY1_MAY13/BBT48INJ.json,BB48INJ,1,11-kt,
INJ/DAY1_MAY13/BBT49INJ.json,BB49INJ,1,11-kt,
INJ/DAY1_MAY13/BBT50INJ.json,BB50INJ,1,control,
INJ/DAY1_MAY13/BBT51INJ.json,BB51INJ,1,control,
INJ/DAY2_MAY14/BBT48INJ.json,BB48INJ,2,11-kt,
INJ/DAY2_MAY14/BBT49INJ.json,BB49INJ,2,11-kt,
INJ/DAY2_MAY14/BBT50INJ.json,BB50INJ,2,control,
INJ/DAY2_MAY14/BBT51INJ.json,BB51INJ,2,control,
INJ/DAY3_MAY15/BBT48INJ.json,BB48INJ,3,11-kt,
INJ/DAY3_MAY15/BBT49INJ.json,BB49INJ,3,11-kt,
INJ/DAY3_MAY15/BBT50INJ.json,BB50INJ,3,control,
INJ/DAY3_MAY15/BBT51INJ.json,BB51INJ,3,control,
INJ/DAY4_MAY16/BBT48INJ.json,BB48INJ,4,11-kt,
INJ/DAY4_MAY16/BBT49INJ.json,BB49INJ,4,11-kt,
INJ/DAY4_MAY16/BBT50INJ.json,BB50INJ,4,control,
INJ/DAY4_MAY16/BBT51INJ.json,BB51INJ,4,control,
